field,pattern,wave,present,examples
child education/investment variables,online learning|remote learning|distance learning|school closure|school closed|device|internet access.*school|child care facilities|education to their children,2010,FALSE,
child education/investment variables,online learning|remote learning|distance learning|school closure|school closed|device|internet access.*school|child care facilities|education to their children,2016,FALSE,
child education/investment variables,online learning|remote learning|distance learning|school closure|school closed|device|internet access.*school|child care facilities|education to their children,2022-23,TRUE,q436 [Usage of child care facilities]; q437 [Reason for not using child care facilities]; q5135 [To provide a better education to their children abroad - decided to leave]; q604e [Doing online courses or using online learning materials]; q608c [Install new software or devices - able to]; q710b [Having a reliable and functional device - challenging when working from home]
household composition,household|hhsize|member|roster|relation|marital|children,2010,TRUE,Adults_i [Number of adults in household]; Children [Number of children in household]; Females_ [Number of female members in household]; Head_Of0 [Q.104 Age of head of household]; Head_Of_ [Q.102 Gender of head of household]; Males_in [Number of male members in household]
household composition,household|hhsize|member|roster|relation|marital|children,2016,TRUE,C1 [C. Final H/h member interview OUTCOME First selected person]; C2 [C. Final H/h member interview OUTCOME Second selected person]; C3 [C. Final H/h member interview OUTCOME Head of household]; C3_notes [Other unproductive (please specify in Notes): Head of household]; PRq520 [Primary respondent - (5.20) Number of employees excluding household members]; SRq520 [Secondary respondent - (5.20) Number of employees excluding household members]
household composition,household|hhsize|member|roster|relation|marital|children,2022-23,TRUE,hhaddress [Household address]; hhid [Household identification number]; q1 [Number of HH members]; q101* [Names/Initials of HH member *]; q1011 [Names/Initials of HH member 1]; q10110 [Names/Initials of HH member 10]
migration variables,migr|remit|abroad|foreign|immig|emig,2010,TRUE,q303k [Q.3.03 To what extent do you trust the following institutions ....?: k) Foreign]; q529 [q529 - Would you be willing to move abroad for employment reasons?]; q708 [q708 - Do you intend to move abroad in the next 12 months?]
migration variables,migr|remit|abroad|foreign|immig|emig,2016,TRUE,q1005g [Which of these are responsible for the economic crisis - foreign banks]; q404k [Trust - foreign investors]; q405d [Trust - foreigners]; q413h [Three most important problems - immigration]; q418 [Opinion on immigrants]; q429g [People you do not want to have as neighbours - immigrants / foreign workers]
migration variables,migr|remit|abroad|foreign|immig|emig,2022-23,TRUE,q333c [Foreign language skills - needed for job]; q334c [Foreign language skills -  level of skills]; q403k [Foreign investors]; q505 [Plans for moving abroad]; q509 [HH members who left to live abroad]; q5134 [To study abroad - decided to leave]
parental education variable,(father|mother|parent).*(education|school|years of full-time education)|(education|school|years of full-time education).*(father|mother|parent)|books at home|number of books,2010,TRUE,q718 [q718 - How many years of full-time education did your father have? YEARS]; q719 [q719 - How many years of full-time education did your mother have? YEARS]
parental education variable,(father|mother|parent).*(education|school|years of full-time education)|(education|school|years of full-time education).*(father|mother|parent)|books at home|number of books,2016,TRUE,q110_1 [Father's highest education completed - primary respondent]; q110_2 [Father's highest education completed - secondary respondent]; q110_3 [Father's highest education completed - sections 1 and 2 respondent]; q111_1 [Mother's highest education completed - primary respondent]; q111_2 [Mother's highest education completed - secondary respondent]; q111_3 [Mother's highest education completed - sections 1 and 2 respondent]
parental education variable,(father|mother|parent).*(education|school|years of full-time education)|(education|school|years of full-time education).*(father|mother|parent)|books at home|number of books,2022-23,TRUE,q110a [Father - Highest level of education obtained - Head of Household]; q110b [Father - Highest level of education obtained - Primary respondent]; q111a [Mother - Highest level of education obtained - Head of Household]; q111b [Mother - Highest level of education obtained - Primary respondent]
region,(^region|_region$|district|oblast|province|rayon|geo),2010,TRUE,Locality [Locality - name of settlement/locality/town district]; Region1 [Region (1) about location of PSU in the country]; Region2 [Region (2) about location of PSU in the country]
region,(^region|_region$|district|oblast|province|rayon|geo),2016,TRUE,district_l1 [District1 (if any)]; district_l2 [District2 (if any)]; q217d [Access in the dwelling to central heating or district heating]; q218d [Satisfaction with the quality of service of central heating or district heating]; region_name [Region name (same as in weighting book)]
region,(^region|_region$|district|oblast|province|rayon|geo),2022-23,TRUE,q811109 [Croatia - Other geographic identity]; q811122 [Czech Republic - Other geographic identity]; q811139 [Estonia - Other geographic identity]; q811148 [Georgia - Georgian]; q811149 [Georgia - Azerbaijani]; q81115 [Azerbaijan - Other geographic identity]
respondent age / birth cohort,(^age($|_|\d)|age_pr|age_sr|\bage\b|year of birth|birth year|yrbirth|cohort),2010,TRUE,Head_Of0 [Q.104 Age of head of household]; Select_0 [Q.104 Age of selected respondent]; age1824; age2534; age3544; age4554
respondent age / birth cohort,(^age($|_|\d)|age_pr|age_sr|\bage\b|year of birth|birth year|yrbirth|cohort),2016,TRUE,age_pr [Age of the primary respondent]; age_sr [Age of the secondary respondent]; q105_1 [Age - household member 1]; q105_10 [Age - household member 10]; q105_2 [Age - household member 2]; q105_3 [Age - household member 3]
respondent age / birth cohort,(^age($|_|\d)|age_pr|age_sr|\bage\b|year of birth|birth year|yrbirth|cohort),2022-23,TRUE,q105* [Age - HH member *]; q1051 [Age - HH member 1]; q10510 [Age - HH member 10]; q10511 [Age - HH member 11]; q10512 [Age - HH member 12]; q10513 [Age - HH member 13]
respondent education variable,highest level of education|education completed|school|grade|tertiary|university|college|years of full-time education,2010,TRUE,q515 [q515 - What is the highest level of education you already completed?]; q718 [q718 - How many years of full-time education did your father have? YEARS]; q719 [q719 - How many years of full-time education did your mother have? YEARS]
respondent education variable,highest level of education|education completed|school|grade|tertiary|university|college|years of full-time education,2016,TRUE,q109_1 [Highest education completed -  primary respondent]; q109_2 [Highest education completed - secondary respondent]; q109_3 [Highest education completed - sections 1 and 2 respondent]; q110_1 [Father's highest education completed - primary respondent]; q110_2 [Father's highest education completed - secondary respondent]; q110_3 [Father's highest education completed - sections 1 and 2 respondent]
respondent education variable,highest level of education|education completed|school|grade|tertiary|university|college|years of full-time education,2022-23,TRUE,q109a [Highest level of education obtained - Knowledgeable respondent]; q109b [Highest level of education obtained - Primary respondent]; q110a [Father - Highest level of education obtained - Head of Household]; q110b [Father - Highest level of education obtained - Primary respondent]; q111a [Mother - Highest level of education obtained - Head of Household]; q111b [Mother - Highest level of education obtained - Primary respondent]
sampling weights,weight|wgt|psu|strata|cluster|pweight,2010,TRUE,Region1 [Region (1) about location of PSU in the country]; Region2 [Region (2) about location of PSU in the country]; XCweight [Federalist weight: Each country's weights add up to one]; psu [psu - PSU NUMBER]; weight [Democratic weight: Each country's weights add up to its population]
sampling weights,weight|wgt|psu|strata|cluster|pweight,2016,TRUE,PSU_name [PSU name]; PSU_number [PSU number]; q902 [Weight in kilograms]; region_name [Region name (same as in weighting book)]; weight_one [Survey weights that add up to one]; weight_population [Survey weights that add up to population totals]
sampling weights,weight|wgt|psu|strata|cluster|pweight,2022-23,TRUE,PSU [Sample point / PSU number]; psu [Sample point / PSU number]; q803 [Weight in KG]; weight [Final weight]; weight_TRt [Final weight - TR with top up sample]; weight_pop [Final weight - scaled to the 18+ population]
urban/rural,(^urban$|urbanity|^rural$|rural_|_rural$|village|settlement|city[_$]),2010,TRUE,Locality [Locality - name of settlement/locality/town district]; q705 [q705 - How long have you lived in this city / town / village? YEARS {null=THE WH]; tablec [a4 - Type of settlement]
urban/rural,(^urban$|urbanity|^rural$|rural_|_rural$|village|settlement|city[_$]),2016,TRUE,q908 [Length of time in this city/town/village /YEARS/]; town [Town/Village]; urban [Urbanity status]
urban/rural,(^urban$|urbanity|^rural$|rural_|_rural$|village|settlement|city[_$]),2022-23,TRUE,q5011 [Length of time in this city/town/village - Years]; q5012 [Length of time in this city/town/village - Months]; q5013 [Length of time in this city/town/village - Have lived here my entire life]; town [Town/Village]; urbanity [Urbanity]
