model,term,estimate,std.error,statistic,p.value,model_family,specification,specification_label,n_used
eq2_persistence_trend_minimal,parent_rank,0.14024046843365856,0.037620563832159296,3.7277609410461943,0.0025324671494570206,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874
eq2_persistence_trend_minimal,wave_year_fe::2016:parent_rank,0.16901233830117196,0.04591285714149657,3.6811548839206667,0.0027677516957046715,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874
eq2_persistence_trend_minimal,wave_year_fe::2022:parent_rank,0.11039967364082726,0.06435185582169121,1.7155631680106824,0.10996207350032958,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874
eq3_attainment_score_minimal,parent_ed_score,0.23465555922467665,0.019728240133854734,11.894398974898674,2.3233222774791166e-8,eq3_attainment_score,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::no_formal,0.6371104843239656,0.06535264164412105,9.748809968438028,2.4150665014202426e-7,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::primary,0.6794090021895198,0.03422698967181543,19.85009516478121,4.176461565226642e-11,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::lower_secondary,0.49089301927027595,0.03945956149142126,12.440407361774636,1.3546591324873487e-8,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::post_secondary_non_tertiary,-0.012806263442446203,0.05034045567374477,-0.2543930775168837,0.8031715385094137,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::tertiary,-0.4198890102964174,0.05324935599231926,-7.885334995544032,2.6181409601478825e-6,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_lowparent_lpm_minimal,parent_ed_level::no_formal,0.6425074239373707,0.06525738055593809,9.845743400420718,2.1542429466107853e-7,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1648
eq4_upward_lowparent_lpm_minimal,parent_ed_level::primary,0.7396719501576828,0.029286894424354434,25.256073226479945,1.9648974409697803e-12,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1648
eq4_upward_lowparent_lpm_minimal,parent_ed_level::lower_secondary,0.5548202103295268,0.03285487196166534,16.88699961993108,3.173967003325128e-10,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1648
eq5_persistence_heterogeneity_minimal,parent_ed_score,0.0818710644687218,0.013012440751495321,6.291753102454174,2.7807479981240256e-5,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq5_persistence_heterogeneity_minimal,urban,-0.09198316530824774,0.10296557581215182,-0.8933390075539406,0.3879144894598665,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq5_persistence_heterogeneity_minimal,female,0.15026194869697812,0.05927534449685626,2.5349822927633503,0.024889472200015566,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq5_persistence_heterogeneity_minimal,parent_ed_score:urban,0.023183817032867367,0.020102753481448053,1.15326574811071,0.26956537867924807,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq5_persistence_heterogeneity_minimal,parent_ed_score:female,-0.02594164058765675,0.012344260523315324,-2.101514346579065,0.05565939730087477,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq5_persistence_heterogeneity_minimal,parent_ed_score:wave2022,0.16094387207298474,0.03954965850373542,4.0694124339350175,0.001327115132768967,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq2_persistence_trend_demographic,parent_rank,0.15488356791905727,0.04067466759494433,3.807863151125262,0.002174615584544415,eq2_persistence_trend,demographic,Add standard demographics,2741
eq2_persistence_trend_demographic,wave_year_fe::2016:parent_rank,0.15447500171596457,0.04684008605562608,3.2979230980172414,0.0057707325453613565,eq2_persistence_trend,demographic,Add standard demographics,2741
eq2_persistence_trend_demographic,wave_year_fe::2022:parent_rank,0.09315952617862341,0.06692515426470474,1.3919956883499371,0.1872806161260845,eq2_persistence_trend,demographic,Add standard demographics,2741
eq2_persistence_trend_demographic,urban,8.404604709773609e-4,0.01568127049129673,0.053596452624411095,0.9580715688811843,eq2_persistence_trend,demographic,Add standard demographics,2741
eq2_persistence_trend_demographic,female,-0.012575140765761515,0.008652956351442021,-1.4532768056394805,0.1698576475537041,eq2_persistence_trend,demographic,Add standard demographics,2741
eq3_attainment_score_demographic,parent_ed_score,0.24263003874950057,0.021294030588949027,11.394274923011446,3.8797502068445266e-8,eq3_attainment_score,demographic,Add standard demographics,2741
eq3_attainment_score_demographic,urban,-0.003089514692534061,0.060737606814259826,-0.05086658586964135,0.9602051041154128,eq3_attainment_score,demographic,Add standard demographics,2741
eq3_attainment_score_demographic,female,-0.03952190485327252,0.033529035277728034,-1.178736713594778,0.25962819080914284,eq3_attainment_score,demographic,Add standard demographics,2741
eq4_upward_full_lpm_demographic,parent_ed_level::no_formal,0.6312107732989046,0.07291925738334434,8.656297334194752,9.335862254690133e-7,eq4_upward_full_lpm,demographic,Add standard demographics,2741
eq4_upward_full_lpm_demographic,parent_ed_level::primary,0.6731769454018008,0.03656595413638372,18.40993791358445,1.0774397052072667e-10,eq4_upward_full_lpm,demographic,Add standard demographics,2741
eq4_upward_full_lpm_demographic,parent_ed_level::lower_secondary,0.49125398688765914,0.0430612320021232,11.408265951690307,3.8235242932299574e-8,eq4_upward_full_lpm,demographic,Add standard demographics,2741
eq4_upward_full_lpm_demographic,parent_ed_level::post_secondary_non_tertiary,0.003623375106804381,0.050863009390374476,0.07123792221956264,0.9442926791154763,eq4_upward_full_lpm,demographic,Add standard demographics,2741
eq4_upward_full_lpm_demographic,parent_ed_level::tertiary,-0.4252429826348189,0.05438371566521093,-7.819307258309409,2.869060196380869e-6,eq4_upward_full_lpm,demographic,Add standard demographics,2741
eq4_upward_full_lpm_demographic,urban,-0.011715838949589849,0.017932110745418343,-0.6533441107920465,0.5249221449751269,eq4_upward_full_lpm,demographic,Add standard demographics,2741
eq4_upward_full_lpm_demographic,female,-0.01647677334854354,0.015137584282618037,-1.0884678189678685,0.2961563854028782,eq4_upward_full_lpm,demographic,Add standard demographics,2741
eq4_upward_lowparent_lpm_demographic,parent_ed_level::no_formal,0.6396928716168371,0.07206864782851365,8.87616031230359,7.042023494415544e-7,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1547
eq4_upward_lowparent_lpm_demographic,parent_ed_level::primary,0.7341873417094437,0.029084944384248468,25.2428655874294,1.9780535695941486e-12,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1547
eq4_upward_lowparent_lpm_demographic,parent_ed_level::lower_secondary,0.5584814273221091,0.035035859677204004,15.940280400354604,6.506080675023967e-10,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1547
eq4_upward_lowparent_lpm_demographic,urban,-0.01069456951383143,0.03121752318957423,-0.3425822557698336,0.7373885260550941,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1547
eq4_upward_lowparent_lpm_demographic,female,-0.052852376436306935,0.021707663241831723,-2.434733570698565,0.03006266261183454,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1547
eq5_persistence_heterogeneity_demographic,parent_ed_score,0.0818710644687218,0.013012440751495321,6.291753102454174,2.7807479981240256e-5,eq5_persistence_heterogeneity,demographic,Add standard demographics,2741
eq5_persistence_heterogeneity_demographic,urban,-0.09198316530824774,0.10296557581215182,-0.8933390075539406,0.3879144894598665,eq5_persistence_heterogeneity,demographic,Add standard demographics,2741
eq5_persistence_heterogeneity_demographic,female,0.15026194869697812,0.05927534449685626,2.5349822927633503,0.024889472200015566,eq5_persistence_heterogeneity,demographic,Add standard demographics,2741
eq5_persistence_heterogeneity_demographic,parent_ed_score:urban,0.023183817032867367,0.020102753481448053,1.15326574811071,0.26956537867924807,eq5_persistence_heterogeneity,demographic,Add standard demographics,2741
eq5_persistence_heterogeneity_demographic,parent_ed_score:female,-0.02594164058765675,0.012344260523315324,-2.101514346579065,0.05565939730087477,eq5_persistence_heterogeneity,demographic,Add standard demographics,2741
eq5_persistence_heterogeneity_demographic,parent_ed_score:wave2022,0.16094387207298474,0.03954965850373542,4.0694124339350175,0.001327115132768967,eq5_persistence_heterogeneity,demographic,Add standard demographics,2741
eq2_persistence_trend_extended,parent_rank,0.15474203467966982,0.04068927649143853,3.8030176012647763,0.0021947192475303095,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741
eq2_persistence_trend_extended,wave_year_fe::2016:parent_rank,0.1543235749636111,0.0469585478760727,3.286378773272188,0.005900347683950155,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741
eq2_persistence_trend_extended,wave_year_fe::2022:parent_rank,0.09374627210583704,0.06663695651110386,1.406821034664389,0.18293527131545242,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741
eq2_persistence_trend_extended,urban,8.077416607426754e-4,0.015623589903957829,0.05170013202523033,0.9595536090939618,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741
eq2_persistence_trend_extended,female,-0.012508056676072235,0.008619395738151313,-1.451152384233719,0.17043815159221506,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741
eq2_persistence_trend_extended,multigenerational_hh,-0.005939388352872959,0.013745507430056234,-0.4320966965457935,0.6727518251889131,eq2_persistence_trend,extended,Add potentially endogenous household controls,2741
eq3_attainment_score_extended,parent_ed_score,0.24257271183180654,0.02118651037666126,11.44939433249097,3.6632305900396124e-8,eq3_attainment_score,extended,Add potentially endogenous household controls,2741
eq3_attainment_score_extended,urban,-0.0032224694506901913,0.06050919866890896,-0.05325586062249361,0.958337741542325,eq3_attainment_score,extended,Add potentially endogenous household controls,2741
eq3_attainment_score_extended,female,-0.03925914797167978,0.033337428936785596,-1.1776297460167953,0.26005409052196116,eq3_attainment_score,extended,Add potentially endogenous household controls,2741
eq3_attainment_score_extended,multigenerational_hh,-0.025619692508865144,0.05755768304481053,-0.4451133394115149,0.66355928331939,eq3_attainment_score,extended,Add potentially endogenous household controls,2741
eq4_upward_full_lpm_extended,parent_ed_level::no_formal,0.632302548665762,0.072192931330444507,8.758510521917447,8.18361194925225e-7,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,2741
eq4_upward_full_lpm_extended,parent_ed_level::primary,0.6736155916966703,0.03663057902877202,18.38943335205182,1.0926157496900211e-10,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,2741
eq4_upward_full_lpm_extended,parent_ed_level::lower_secondary,0.49139911368082934,0.043063124018884236,11.411134813752453,3.812103232650211e-8,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,2741
eq4_upward_full_lpm_extended,parent_ed_level::post_secondary_non_tertiary,0.003700479883023998,0.050901731955232406,0.07269850633527628,0.9431526603926175,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,2741
eq4_upward_full_lpm_extended,parent_ed_level::tertiary,-0.4251175823368616,0.054316457995462766,-7.826680862960045,2.8398128839478465e-6,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,2741
eq4_upward_full_lpm_extended,urban,-0.011750492164350878,0.017974385610206495,-0.6537353998725014,0.5246779038256524,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,2741
eq4_upward_full_lpm_extended,female,-0.016432841446093055,0.015165247179320497,-1.0835854669418816,0.2982371003737607,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,2741
eq4_upward_full_lpm_extended,multigenerational_hh,-0.00451917803755666,0.010348937627303961,-0.4366803821131896,0.669508414152095,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,2741
eq4_upward_lowparent_lpm_extended,parent_ed_level::no_formal,0.6395028270894099,0.07228213595236507,8.847315020005096,7.305260417873601e-7,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1547
eq4_upward_lowparent_lpm_extended,parent_ed_level::primary,0.7341204742386978,0.02818893137086135,26.04286287338837,1.3282390252225664e-12,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1547
eq4_upward_lowparent_lpm_extended,parent_ed_level::lower_secondary,0.5584648012081156,0.03502625135730945,15.944178425236261,6.486369831456872e-10,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1547
eq4_upward_lowparent_lpm_extended,urban,-0.010711401423649507,0.0312520351614655,-0.3427425243926808,0.7372707356267378,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1547
eq4_upward_lowparent_lpm_extended,female,-0.052882051354024226,0.02204630200401145,-2.3986812547701666,0.032164307678819753,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1547
eq4_upward_lowparent_lpm_extended,multigenerational_hh,7.854257594976724e-4,0.02053839727260399,0.03824182330650239,0.9700759044699867,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,1547
eq5_persistence_heterogeneity_extended,parent_ed_score,0.0819586024294432,0.013094358543066098,6.259077308742476,2.9290940557034125e-5,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2741
eq5_persistence_heterogeneity_extended,urban,-0.09155944294351995,0.10352183884750246,-0.8844456779636202,0.3925200842290937,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2741
eq5_persistence_heterogeneity_extended,female,0.15119568046460424,0.06001386408090848,2.5193458674943474,0.0256356563195688,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2741
eq5_persistence_heterogeneity_extended,multigenerational_hh,-0.007354962254721032,0.019925798498077938,-0.3691175666275306,0.7179823456367982,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2741
eq5_persistence_heterogeneity_extended,parent_ed_score:urban,0.02308731076212465,0.02025872035075978,1.139623350458006,0.2750065685276096,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2741
eq5_persistence_heterogeneity_extended,parent_ed_score:female,-0.026120425895333543,0.012416992096645416,-2.1036033277648825,0.05544869657364922,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2741
eq5_persistence_heterogeneity_extended,parent_ed_score:wave2022,0.16107055490486016,0.03963738548225099,4.0636018986919575,0.0013416666111630373,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,2741
